stelle,zeichen_code,zeichen_original,position,bedeutung,normen,verwendung_ende
BVerwG,AR ,AR ,hauptzeichen,Allgemeines Register (Vorverfahren oder sonstige Verfahrensarten),NA,NA
BVerwG,A ,A ,hauptzeichen,"Erstinstanzliche Klage, inklusive Wiederaufnahmeverfahren (Verwaltungsstreitsachen)",§ 50 VwGO,NA
BVerwG,AV ,AV ,hauptzeichen,Allgemeine Verfahren (sonstige Anträge außerhalb eines schwebenden Verfahrens),NA,NA
BVerwG,B ,B ,hauptzeichen,Nichtzulassungsbeschwerde oder Beschwerde (Verwaltungsstreitsachen),§ 133 VwGO,NA
BVerwG,BN ,BN ,hauptzeichen,Nichtzulassungsbeschwerde (Normenkontrollsachen),§ 133 VwGO,NA
BVerwG,C ,C ,hauptzeichen,Revision (Verwaltungsstreitsachen),§ 49 VwGO; § 132 VwGO,NA
BVerwG,CN ,CN ,hauptzeichen,Revision (Normenkontrollsachen),§ 49 VwGO; § 132 VwGO,NA
BVerwG,D ,D ,hauptzeichen,Revision (Disziplinarsachen),"§ 69 BDG, § 70 BDG",2015-06-01
BVerwG,D,D,zusatz,Entschädigungsverfahren wegen überlanger Verfahrensdauer,§ 201 GVG,NA
BVerwG,D-AV,D-AV,hauptzeichen,Allgemeines Register: Vorverfahren oder sonstige Verfahrensarten (Disziplinarsachen),NA,2015-06-01
BVerwG,D-PKH ,D-PKH ,hauptzeichen,Prozesskostenhilfe (Disziplinarsachen),NA,2015-06-01
BVerwG,D-St,D-St,hauptzeichen,Angeforderte Stellungnahmen der Senate des Bundesverwaltungsgerichts (Disziplinarsenat),§ 12 RsprEinhG,2015-06-01
BVerwG,DB ,DB ,hauptzeichen,Beschwerde (Disziplinarsachen),§ 69 BDG,2015-06-01
BVerwG,DW ,DW ,hauptzeichen,Wiederaufnahme (Disziplinarsachen),§§ 71 ff BDG,2015-06-01
BVerwG,ER,ER,hauptzeichen,Sonstige Eingänge,NA,NA
BVerwG,F ,F ,hauptzeichen,Fachsenat (Verwaltungsstreitsachen),§ 99 II VwGO; § 189 VwGO,NA
BVerwG,GrSen,GrSen,hauptzeichen,Großer Senat des Bundesverwaltungsgerichts,§ 11 VwGO,NA
BVerwG,KSt ,KSt ,hauptzeichen,Kostensachen ,§ 154 ff VwGO,NA
BVerwG,P ,P ,hauptzeichen,Rechtsbeschwerde (Personalvertretungs- und Richtervertretungssachen),§ 83 BPersVG; § 60 DRiG; § 92 ArbGG,NA
